time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010450000000	15.8693	19.7498	4.77957	2.64371	0.549042	lidar	0.606382	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6664	19.8706	4.7759	2.66295	0.538317	radar	0.916863	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4523	20.0213	4.80544	2.67799	0.527224	lidar	0.938122	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.246	20.1394	4.80391	2.69667	0.518788	radar	1.04636	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0662	20.2856	4.79746	2.70193	0.500973	lidar	1.43722	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8433	20.3781	4.79784	2.72997	0.503689	radar	0.536198	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6332	20.502	4.80555	2.7441	0.49391	lidar	0.430849	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.408	20.5884	4.8069	2.77157	0.497468	radar	0.110818	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1559	20.6531	4.82232	2.80701	0.506311	lidar	0.503772	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9253	20.7261	4.82363	2.83477	0.50953	radar	0.0869568	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6493	20.7775	4.85887	2.87314	0.519962	lidar	1.24901	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.407	20.8254	4.86314	2.90754	0.530272	radar	0.638955	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1572	20.8669	4.8706	2.93957	0.534899	lidar	0.13614	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9211	20.918	4.87017	2.96448	0.533619	radar	0.512681	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7187	20.9822	4.84131	2.97852	0.523302	lidar	1.04886	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4782	21.0161	4.84312	3.00663	0.52602	radar	0.179809	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2322	21.0603	4.8541	3.02869	0.522064	lidar	0.10936	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9902	21.0821	4.85603	3.05715	0.525622	radar	0.315423	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7351	21.0448	4.85417	3.10291	0.542647	lidar	1.20352	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.489	21.0418	4.85704	3.13433	0.54725	radar	0.375025	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2682	21.0467	4.83513	3.15794	0.544516	lidar	0.341187	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0206	21.0236	4.84025	3.19213	0.551638	radar	1.44505	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8005	20.9884	4.81408	3.22542	0.557297	lidar	0.416453	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5623	20.9709	4.8101	3.24917	0.551729	radar	0.484327	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2961	21.0061	4.84696	3.25516	0.531873	lidar	1.79481	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0571	20.9795	4.84607	3.28043	0.530851	radar	0.215615	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.85084	20.9493	4.81045	3.30431	0.529428	lidar	0.800619	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.61696	20.9209	4.80257	3.32318	0.520096	radar	0.634323	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.41123	20.8724	4.77025	3.35012	0.521708	lidar	0.591845	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.18048	20.8266	4.76773	3.37373	0.51941	radar	0.356853	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.90166	20.7861	4.81859	3.39247	0.511852	lidar	1.44847	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66894	20.7203	4.81907	3.4191	0.512729	radar	0.211642	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40074	20.6166	4.86338	3.4554	0.52104	lidar	1.78355	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17065	20.5386	4.86339	3.4815	0.521111	radar	0.00154448	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93179	20.455	4.87496	3.50678	0.520162	lidar	0.076587	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
