time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth	yaw_ground_truth	yawrate_ground_truth	px_estimate	py_estimate	vx_estimate	vy_estimate	yaw_estimate	yawrate_estimate
1477010448100000	20.4116	12.4025	4.94075	1.58446	0.560949	lidar	0.516303	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	1.57781	0.529115	20.4116	12.4025	-0.0675139	4.94029	1.58446	0.560949
1477010448150000	20.3716	12.6472	4.93729	1.64125	0.621704	radar	1.0388	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	1.60426	0.53096	20.3716	12.6472	-0.347584	4.92504	1.64125	0.621704
1477010448200000	20.3966	12.888	4.93468	1.64792	0.587843	lidar	0.316194	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.63081	0.532721	20.3966	12.888	-0.38022	4.92001	1.64792	0.587843
1477010448250000	20.3717	13.1328	4.93439	1.67979	0.593598	radar	0.0665984	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	1.65745	0.534397	20.3717	13.1328	-0.536744	4.90511	1.67979	0.593598
1477010448300000	20.3	13.3446	4.9043	1.73204	0.629782	lidar	1.51549	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.68417	0.53599	20.3	13.3446	-0.787361	4.84069	1.73204	0.629782
1477010448350000	20.2622	13.5846	4.90258	1.75428	0.605305	radar	0.614684	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.71097	0.537498	20.2622	13.5846	-0.894483	4.82029	1.75428	0.605305
1477010448400000	20.247	13.8343	4.90931	1.76677	0.57949	lidar	0.302561	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.73784	0.53892	20.247	13.8343	-0.955971	4.81533	1.76677	0.57949
1477010448450000	20.1878	14.0716	4.9083	1.8021	0.5922	radar	0.143516	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	1.76479	0.540258	20.1878	14.0716	-1.12523	4.77758	1.8021	0.5922
1477010448500000	20.126	14.3138	4.91305	1.8323	0.592285	lidar	0.0204888	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	1.7918	0.54151	20.126	14.3138	-1.27019	4.74602	1.8323	0.592285
1477010448550000	20.0568	14.5478	4.91133	1.86002	0.583953	radar	0.567394	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.81888	0.542677	20.0568	14.5478	-1.40077	4.70733	1.86002	0.583953
1477010448600000	19.9231	14.779	4.92018	1.91974	0.625048	lidar	0.631281	19.781	14.773	19.934	14.6897	-1.30687	4.62805	1.84601	0.543759	19.9231	14.779	-1.68225	4.62366	1.91974	0.625048
1477010448650000	19.8496	15.0112	4.91794	1.93236	0.578826	radar	0.946975	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	1.8732	0.544754	19.8496	15.0112	-1.73965	4.59997	1.93236	0.578826
1477010448700000	19.8352	15.2372	4.89733	1.9247	0.531346	lidar	1.12989	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	1.90044	0.545663	19.8352	15.2372	-1.69723	4.59382	1.9247	0.531346
1477010448750000	19.7072	15.4509	4.89819	1.9965	0.636879	radar	2.09313	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	1.92772	0.546486	19.7072	15.4509	-2.02276	4.46102	1.9965	0.636879
1477010448800000	19.6893	15.6575	4.85948	1.98949	0.58873	lidar	2.02248	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	1.95504	0.547223	19.6893	15.6575	-1.9757	4.43973	1.98949	0.58873
